Item name,Glow color,Thaumometer reading,Mana gained from sacrifice
Warhammer of Rage +1,yellow,40,18
Amulet of Melancholy,green,40,20
Amulet of Abstraction,blue,71,48
Ring of Hope +6,yellow,50,19
Warhammer of Flame,blue,4,5
Axe of Capability +1,blue,17,18
Ring of Winter +4,green,27,20
Amulet of Justice,blue,71,50
Pendant of Power +6,yellow,62,21
Battleaxe of Wrath +2,yellow,42,20
Pendant of Abstraction +6,yellow,40,21
Saw of Industry,blue,8,7
Plough of Plenty,red,6,6
Pendant of Prosperity,green,36,22
Ring of Plenty +4,yellow,52,21
Longsword of Rage +1,blue,11,10
Longsword of Wrath +3,green,15,32
Pendant of Abstraction +5,green,24,20
Amulet of Capability,yellow,26,20
Hammer of Industry,green,21,20
Amulet of Melancholy,red,30,10
Axe of Industry +2,red,12,16
Longsword of Justice +2,blue,23,24
Ring of Wounding +3,yellow,25,19
Saw of Industry,blue,55,54
Longsword of Wounding,red,60,2
Sword of Glory +4,blue,49,48
Hammer of Plenty,yellow,54,20
Ring of Plenty +5,green,72,38
Longsword of Power +2,yellow,6,21
Longsword of Justice +1,blue,13,12
Axe of Industry,green,16,16
Ring of Justice +1,red,34,20
Pendant of Beauty +4,blue,63,40
Sword of Justice +1,yellow,8,18
Pendant of Flame,red,57,72
Saw of Industry +2,blue,2,3
Pendant of Rage +1,green,49,38
Sword of Flame +3,green,4,34
Battleaxe of Wrath +4,blue,41,40
Warhammer of Justice,blue,5,4
Longsword of Rage +3,green,2,38
Ring of Flame,yellow,42,18
Warhammer of Power +1,green,12,16
Amulet of Prosperity +6,yellow,43,20
Battleaxe of Glory +1,blue,15,16
Sword of Glory +2,green,8,22
Pendant of Protection,red,24,18
Amulet of Protection,yellow,64,20
Ring of Flame +6,blue,29,6
Amulet of Flame +4,blue,29,6
Pendant of Hope +1,green,34,30
Saw of Plenty,green,21,8
Axe of Capability,red,4,48
Pendant of Flame,blue,65,42
Amulet of Winter +6,blue,39,18
Saw of Capability +4,yellow,1,18
Pendant of Justice +6,red,24,24
Battleaxe of Rage +2,green,24,26
Ring of Joy +5,yellow,29,18
Pendant of Winter,blue,63,40
Warhammer of Wounding +1,blue,17,18
Amulet of Rage,green,42,36
Saw of Plenty,green,4,26
Warhammer of Justice,blue,9,8
Hammer of Industry,blue,39,40
Sword of Flame +2,yellow,4,20
Amulet of Glory,green,31,20
Amulet of Wounding,red,31,6
Saw of Industry,yellow,36,19
Pendant of Joy +4,blue,33,12
Amulet of Wounding,blue,59,36
Amulet of Winter,green,72,4
Ring of Plenty,blue,25,4
Pendant of Hope,blue,23,2
Longsword of Power +2,yellow,4,20
Amulet of Truth,yellow,42,21
Hammer of Prosperity +4,blue,6,5
Ring of Prosperity,blue,30,9
Sword of Rage,red,7,1
Pendant of Abstraction +4,red,26,6
Hammer of Industry,red,60,12
Amulet of Joy,yellow,34,18
Hammer of Plenty +1,yellow,6,21
