damage taken,direction,encounter,month of departure
35%,southbound,crabmonsters,1/1396
49%,southbound,kraken,1/1396
52%,northbound,pirates,1/1396
18%,southbound,pirates,1/1396
51%,northbound,merpeople,1/1396
78%,northbound,kraken,1/1396
57%,southbound,pirates,1/1396
15%,northbound,harpy,1/1396
82%,northbound,water elemental,1/1396
25%,northbound,sharks,1/1396
18%,southbound,pirates,1/1396
16%,southbound,pirates,1/1396
14%,southbound,sharks,1/1396
28%,northbound,pirates,1/1396
100%+,southbound,unknown,1/1396
49%,northbound,kraken,1/1396
17%,northbound,sharks,1/1396
100%+,southbound,unknown,1/1396
11%,southbound,merpeople,1/1396
21%,northbound,pirates,1/1396
28%,northbound,pirates,1/1396
65%,southbound,kraken,1/1396
76%,southbound,nessie,1/1396
19%,southbound,pirates,1/1396
100%+,northbound,unknown,1/1396
18%,southbound,sharks,1/1396
54%,southbound,pirates,1/1396
22%,southbound,pirates,1/1396
85%,southbound,demon whale,1/1396
100%+,southbound,unknown,1/1396
16%,northbound,pirates,1/1396
12%,northbound,harpy,1/1396
57%,northbound,kraken,1/1396
32%,northbound,pirates,1/1396
65%,northbound,crabmonsters,1/1396
97%,southbound,demon whale,1/1396
76%,southbound,nessie,1/1396
19%,northbound,pirates,1/1396
62%,southbound,kraken,1/1396
83%,southbound,water elemental,1/1396
20%,southbound,pirates,1/1396
59%,southbound,kraken,1/1396
7%,southbound,harpy,1/1396
62%,southbound,kraken,1/1396
75%,northbound,nessie,1/1396
100%+,southbound,unknown,1/1396
37%,southbound,pirates,1/1396
28%,southbound,pirates,1/1396
12%,northbound,sharks,1/1396
81%,northbound,nessie,1/1396
56%,northbound,merpeople,1/1396
19%,northbound,harpy,1/1396
50%,northbound,kraken,1/1396
21%,northbound,pirates,1/1396
100%+,southbound,unknown,1/1396
14%,southbound,harpy,1/1396
55%,northbound,merpeople,1/1396
100%+,northbound,unknown,1/1396
22%,southbound,sharks,1/1396
44%,southbound,merpeople,1/1396
15%,southbound,sharks,1/1396
25%,northbound,pirates,1/1396
37%,northbound,sharks,1/1396
9%,northbound,harpy,1/1396
100%+,northbound,unknown,1/1396
15%,northbound,merpeople,1/1396
100%+,southbound,unknown,1/1396
1%,northbound,crabmonsters,1/1396
25%,northbound,pirates,1/1396
38%,northbound,pirates,1/1396
34%,northbound,merpeople,1/1396
17%,northbound,pirates,1/1396
78%,northbound,water elemental,1/1396
81%,northbound,nessie,1/1396
21%,southbound,sharks,1/1396
9%,southbound,harpy,1/1396
27%,southbound,sharks,1/1396
50%,northbound,merpeople,1/1396
100%+,northbound,unknown,1/1396
32%,southbound,sharks,1/1396
66%,northbound,crabmonsters,1/1396
85%,southbound,water elemental,1/1396
100%+,southbound,unknown,1/1396
22%,northbound,sharks,1/1396
52%,southbound,kraken,1/1396
64%,southbound,kraken,1/1396
13%,southbound,harpy,1/1396
44%,southbound,pirates,1/1396
18%,northbound,harpy,1/1396
41%,southbound,pirates,1/1396
39%,southbound,pirates,1/1396
96%,southbound,nessie,1/1396
27%,northbound,sharks,1/1396
31%,southbound,merpeople,1/1396
68%,northbound,nessie,1/1396
45%,southbound,sharks,1/1396
