dam,dir,encounter,m,y
35,s,crabmonsters,1,1396
49,s,kraken,1,1396
52,n,pirates,1,1396
18,s,pirates,1,1396
51,n,merpeople,1,1396
78,n,kraken,1,1396
57,s,pirates,1,1396
15,n,harpy,1,1396
82,n,water elemental,1,1396
25,n,sharks,1,1396
18,s,pirates,1,1396
16,s,pirates,1,1396
14,s,sharks,1,1396
28,n,pirates,1,1396
100,s,unknown,1,1396
49,n,kraken,1,1396
17,n,sharks,1,1396
100,s,unknown,1,1396
11,s,merpeople,1,1396
21,n,pirates,1,1396
28,n,pirates,1,1396
65,s,kraken,1,1396
76,s,nessie,1,1396
19,s,pirates,1,1396
100,n,unknown,1,1396
18,s,sharks,1,1396
54,s,pirates,1,1396
22,s,pirates,1,1396
85,s,demon whale,1,1396
100,s,unknown,1,1396
16,n,pirates,1,1396
12,n,harpy,1,1396
57,n,kraken,1,1396
32,n,pirates,1,1396
65,n,crabmonsters,1,1396
97,s,demon whale,1,1396
76,s,nessie,1,1396
19,n,pirates,1,1396
62,s,kraken,1,1396
83,s,water elemental,1,1396
20,s,pirates,1,1396
59,s,kraken,1,1396
7,s,harpy,1,1396
62,s,kraken,1,1396
75,n,nessie,1,1396
100,s,unknown,1,1396
37,s,pirates,1,1396
28,s,pirates,1,1396
12,n,sharks,1,1396
81,n,nessie,1,1396
56,n,merpeople,1,1396
19,n,harpy,1,1396
50,n,kraken,1,1396
21,n,pirates,1,1396
100,s,unknown,1,1396
14,s,harpy,1,1396
55,n,merpeople,1,1396
100,n,unknown,1,1396
22,s,sharks,1,1396
44,s,merpeople,1,1396
15,s,sharks,1,1396
25,n,pirates,1,1396
37,n,sharks,1,1396
9,n,harpy,1,1396
100,n,unknown,1,1396
15,n,merpeople,1,1396
100,s,unknown,1,1396
1,n,crabmonsters,1,1396
25,n,pirates,1,1396
38,n,pirates,1,1396
34,n,merpeople,1,1396
17,n,pirates,1,1396
78,n,water elemental,1,1396
81,n,nessie,1,1396
21,s,sharks,1,1396
9,s,harpy,1,1396
27,s,sharks,1,1396
50,n,merpeople,1,1396
100,n,unknown,1,1396
32,s,sharks,1,1396
66,n,crabmonsters,1,1396
85,s,water elemental,1,1396
100,s,unknown,1,1396
22,n,sharks,1,1396
52,s,kraken,1,1396
64,s,kraken,1,1396
13,s,harpy,1,1396
44,s,pirates,1,1396
18,n,harpy,1,1396
41,s,pirates,1,1396
39,s,pirates,1,1396
96,s,nessie,1,1396
27,n,sharks,1,1396
31,s,merpeople,1,1396
68,n,nessie,1,1396
45,s,sharks,1,1396
20,s,pirates,1,1396
14,s,pirates,1,1396
83,s,nessie,1,1396
100,s,unknown,1,1396
67,s,merpeople,1,1396
22,s,sharks,1,1396
100,n,unknown,1,1396
